name,code,pop
Afghanistan,AFG,11.981
Africa,OWID_AFR,20.776
Albania,ALB,135.111
Algeria,DZA,13.584999999999999
American Samoa,ASM,767.584
Andorra,AND,225.449
Angola,AGO,4.855
Anguilla,AIA,440.88800000000003
Antigua and Barbuda,ATG,287.93
Argentina,ARG,262.538
Armenia,ARM,265.429
Aruba,ABW,929.935
Asia,OWID_ASI,58.025
Australia,AUS,587.25
Austria,AUT,552.147
Azerbaijan,AZE,160.477
Bahamas,BHS,282.93100000000004
Bahrain,BHR,96.428
Bangladesh,BGD,8.016
Barbados,BRB,1093.601
Belarus,BLR,163.29999999999998
Belgium,BEL,429.053
Belize,BLZ,224.529
Benin,BEN,0.15
Bermuda,BMU,732.0169999999999
Bhutan,BTN,23.004
Bolivia,BOL,216.056
Bonaire Sint Eustatius and Saba,BES,628.422
Bosnia and Herzegovina,BIH,867.795
Botswana,BWA,126.977
Brazil,BRA,347.947
British Virgin Islands,VGB,797.9069999999999
Brunei,BRN,193.76
Bulgaria,BGR,1063.998
Burkina Faso,BFA,3.395
Burundi,BDI,0.078
Cambodia,KHM,2.63
Cameroon,CMR,4.012
Canada,CAN,497.873
Cape Verde,CPV,102.846
Cayman Islands,CYM,378.331
Central African Republic,CAF,2.149
Chad,TCD,0.731
Chile,CHL,1226.9119999999998
China,CHN,30.183
Colombia,COL,237.364
Comoros,COM,4.78
Congo,COG,2.843
Cook Islands,COK,58.713
Costa Rica,CRI,334.095
Cote d'Ivoire,CIV,4.244
Croatia,HRV,1262.913
Cuba,CUB,18.544999999999998
Curacao,CUW,585.864
Cyprus,CYP,683.014
Czechia,CZE,554.509
Democratic Republic of Congo,COD,2.388
Denmark,DNK,769.42
Djibouti,DJI,0.0
Dominica,DMA,371.09000000000003
Dominican Republic,DOM,12.282
Ecuador,ECU,126.625
Egypt,EGY,27.697
El Salvador,SLV,64.243
England,OWID_ENG,0.0
Equatorial Guinea,GNQ,4.776
Eritrea,ERI,7.5920000000000005
Estonia,EST,694.525
Eswatini,SWZ,102.35
Ethiopia,ETH,5.226
